0_names,0_logfoldchanges,0_pvals,0_pvals_adj,1_names,1_logfoldchanges,1_pvals,1_pvals_adj,2_names,2_logfoldchanges,2_pvals,2_pvals_adj,3_names,3_logfoldchanges,3_pvals,3_pvals_adj,4_names,4_logfoldchanges,4_pvals,4_pvals_adj,5_names,5_logfoldchanges,5_pvals,5_pvals_adj,6_names,6_logfoldchanges,6_pvals,6_pvals_adj,7_names,7_logfoldchanges,7_pvals,7_pvals_adj,8_names,8_logfoldchanges,8_pvals,8_pvals_adj,9_names,9_logfoldchanges,9_pvals,9_pvals_adj,10_names,10_logfoldchanges,10_pvals,10_pvals_adj,11_names,11_logfoldchanges,11_pvals,11_pvals_adj,12_names,12_logfoldchanges,12_pvals,12_pvals_adj,13_names,13_logfoldchanges,13_pvals,13_pvals_adj,14_names,14_logfoldchanges,14_pvals,14_pvals_adj,15_names,15_logfoldchanges,15_pvals,15_pvals_adj,16_names,16_logfoldchanges,16_pvals,16_pvals_adj,17_names,17_logfoldchanges,17_pvals,17_pvals_adj
Cdh5,,0.0,0.0,Fbn1,,0.0,0.0,Bgn,,0.0,0.0,Smoc2,,0.0,0.0,Slc25a4,,0.0,0.0,Pvalb,,1.1343095528962987e-252,4.439687590036113e-249,Laptm5,,5.067279192121515e-194,1.9833330757963606e-190,Aqp1,,2.0192134528838078e-21,9.408573160222885e-20,Rgs5,,1.2173268190300761e-124,4.764617169683717e-121,Kcna1,,3.988054828464327e-99,1.5609246598609372e-95,Chodl,,1.7815097697574276e-103,6.972829238830571e-100,Myl9,,2.987724346572992e-61,1.169395309248669e-57,Fmod,,4.267624862269357e-87,9.461479714649052e-84,Tm4sf1,,9.711968909268544e-78,3.801264631087708e-74,Coro1a,,2.1500798814918392e-61,8.415412656159057e-58,Apod,,4.119443337424908e-48,1.612350122268109e-44,Hdc,,1.935643879158422e-37,2.0380425121769446e-34,Plvap,,2.143004013169445e-25,8.387717707545207e-22
Gpihbp1,,0.0,0.0,Sema3c,,0.0,0.0,Gas1,,0.0,0.0,Col15a1,,0.0,0.0,Tpm2,,0.0,0.0,Atp2a1,,1.400150935562369e-230,2.7400953808955558e-227,Lyz2,,1.4748334962318173e-193,2.8862491521256663e-190,Egfl7,,5.319277493056818e-16,1.445809174154471e-14,Ndufa4l2,,1.948839471839866e-120,3.813878846390617e-117,Mbp,,3.644225667418726e-98,7.131749631138446e-95,Pax7,,5.51156411037516e-89,1.0786130964004186e-85,Gucy1a1,,2.094453262391567e-52,4.0988450345002964e-49,Thbs4,,4.834685597674529e-87,9.461479714649052e-84,Stmn2,,2.514837069612538e-69,4.921536145231736e-66,Rac2,,2.438837916692281e-59,4.772805802966793e-56,Cp,,8.006814786002054e-43,1.5669336536206018e-39,S100a8,,2.0682991892579606e-37,2.0380425121769446e-34,Vwf,,2.558082650044614e-24,5.006167746137309e-21
Kdr,,0.0,0.0,Fn1,,0.0,0.0,Mgp,,0.0,0.0,Lum,,0.0,0.0,Cox6a2,,0.0,0.0,Eno3,,1.5453875765521e-227,2.0162156582083064e-224,Ctss,,8.181330920351023e-190,1.0673909740751301e-186,Cdh5,,5.359793756383869e-13,1.059506705176084e-11,Gucy1a1,,4.2436451621368405e-120,5.5365423882011976e-117,Plp1,,1.133265663373511e-97,1.4785339354813072e-94,Sdc4,,9.825021585083352e-85,1.2818378161338747e-81,Notch3,,3.694654533500562e-51,4.8202926147070663e-48,Prelp,,7.649888565346172e-80,9.98055461492164e-77,Rbp7,,6.978895905019671e-65,9.105132857415664e-62,Cd52,,5.30962167162822e-58,6.927286407584284e-55,Gpc3,,1.300995808402624e-39,1.6973658646959567e-36,S100a9,,2.0793967001552833e-37,2.0380425121769446e-34,Fmo2,,1.673674465961135e-23,2.1835872865906274e-20
Egfl7,,0.0,0.0,Cd248,,0.0,0.0,Apod,,4.2555070050328166e-288,4.1640136044246106e-285,Col6a3,,0.0,0.0,Tcap,,0.0,0.0,Actn3,,1.5995201091260132e-218,1.5651304267798037e-215,Fcer1g,,7.962456493306214e-183,7.79126367870013e-180,Gpihbp1,,7.534478972937428e-13,1.4744975350038548e-11,Gucy1b1,,2.0447895650833553e-113,2.000826589434063e-110,Pmp22,,9.394951616371021e-97,9.192960156619043e-94,Ncam1,,3.1904037148859226e-84,3.121810035015875e-81,Gucy1b1,,9.180673467445371e-50,8.983288987895296e-47,Col12a1,,1.525631035279371e-74,1.4928299680208644e-71,Alpl,,5.413880488048283e-64,5.297482057555244e-61,Ptpn18,,8.730771397269059e-58,8.543059812227773e-55,Lum,,2.3035681915052545e-39,2.2540414753878915e-36,Mxd1,,2.082823211218135e-37,2.0380425121769446e-34,Actn1,,1.2585335563837883e-22,1.2314750849215367e-19
Tspan13,,0.0,0.0,Pcolce2,,0.0,0.0,Nbl1,,2.294291799215289e-279,1.7959716204257284e-276,Crispld2,,0.0,0.0,Des,,0.0,0.0,Slc25a4,,1.2173134381636015e-215,9.529129593944672e-213,Lcp1,,1.8949672124589752e-182,1.4833803339128858e-179,Pecam1,,2.0694205543467216e-10,2.9998933517455805e-09,Notch3,,9.552034930674494e-113,7.477332943731994e-110,Gpm6b,,1.0245425498582821e-94,8.020119080290633e-92,Peg3,,2.8018859627251535e-82,2.1933163316212503e-79,Mylk,,4.537433956332483e-43,3.5519033010170675e-40,Tnmd,,2.924399522913815e-73,2.2892199465369342e-70,Sema3g,,1.2104032910724506e-63,9.475036962515143e-61,Ptprc,,5.003141465090821e-56,3.9164591388730945e-53,Col15a1,,3.002328477028137e-34,2.3502227318176254e-31,Coro1a,,1.0005756819636289e-36,7.832506438411287e-34,Ehd4,,3.994533647162531e-22,3.1269209389988293e-19
Aqp1,,0.0,0.0,Fndc1,,0.0,0.0,Serpinf1,,7.434413499083296e-277,4.849715739235337e-274,Mme,,0.0,0.0,Pgam2,,0.0,0.0,Tcap,,7.2149560446194e-205,4.034191136948619e-202,Ctsc,,3.5939071656399614e-181,2.344425441052468e-178,Timp4,,1.5211277426675662e-09,2.0529979257933982e-08,Rgs4,,5.556148199578937e-112,3.6244606755253267e-109,Dbi,,3.8951793882748296e-93,2.5409553542846135e-90,Runx1,,7.849768995539965e-75,5.120665974757237e-72,Pdgfrb,,9.368120234324398e-43,6.111137099524283e-40,Serpinf1,,3.83707373039995e-73,2.5030510967975673e-70,Cldn5,,2.7730060891578784e-61,1.8089243054939894e-58,Laptm5,,1.5615014608213015e-54,1.0186194529424289e-51,Vwa1,,1.877875090061088e-31,1.225000517083183e-28,Grina,,1.26316782566333e-36,8.240064782743788e-34,Rasa4,,5.180983919258226e-20,3.379728509996116e-17
Timp4,,0.0,0.0,Pi16,,0.0,0.0,Fbln1,,9.632065970412544e-258,5.385700886884957e-255,Angptl1,,0.0,0.0,Chchd10,,0.0,0.0,Myoz1,,2.3452565749519997e-186,1.1474167792952656e-183,Alox5ap,,2.414634407233593e-180,1.3501255814160404e-177,Kdr,,6.647181509999474e-09,8.130333884418106e-08,Myl9,,1.921478079627792e-111,1.074380743380454e-108,Cnp,,8.374331257442812e-93,4.682447505947309e-90,Myf5,,1.0638164028816521e-74,5.948253429826838e-72,Rgs4,,2.6547652215791722e-42,1.380985357515669e-39,Thbs2,,5.410393374757e-72,3.0251828098284143e-69,Podxl,,8.515868134219672e-61,4.373505288822353e-58,Arhgdib,,3.418370026875936e-52,1.9113571835989163e-49,Crispld2,,4.0202267470705913e-29,2.247881069719185e-26,Slc7a11,,4.622023579139168e-36,2.5843714698215295e-33,Samd5,,8.550894649710139e-20,4.781171665566498e-17
Rgcc,,0.0,0.0,Ackr3,,0.0,0.0,Ntrk2,,2.2872158856948218e-251,1.1190203720761915e-248,Cxcl14,,0.0,0.0,Eno3,,0.0,0.0,Pgam2,,1.462316793941376e-179,6.359453257207273e-177,Tyrobp,,1.3546953719453638e-178,6.627847107242691e-176,Cldn5,,8.747357489916955e-09,1.0406430764600291e-07,Pdgfrb,,5.502325390955358e-105,2.6920126975249085e-102,S100b,,1.7050226390047516e-90,8.341823261330746e-88,Crlf1,,1.8869484258434538e-73,9.231895173439096e-71,Ndufa4l2,,2.8226578589998345e-42,1.380985357515669e-39,Cilp2,,4.748334506772897e-70,2.1195623466343865e-67,Tsc22d1,,8.93920345185969e-61,4.373505288822353e-58,Cd53,,1.679301843622019e-49,8.215984269920728e-47,Matn2,,5.110882842591313e-29,2.5004994307378e-26,Msrb1,,5.392660521712885e-36,2.6383591602480287e-33,Pecam1,,1.8132302422053467e-19,8.871228959989658e-17
Cd300lg,,0.0,0.0,Cd55,,0.0,0.0,Cfh,,1.7228989677432298e-249,7.492696177496667e-247,Dpep1,,7.677176093469479e-306,3.3387185810932825e-303,Cox8b,,0.0,0.0,Tpm2,,8.149719428904491e-175,3.189800184473218e-172,Cd53,,3.490214248101426e-176,1.5178553963409978e-173,Tspan13,,1.4818346971398652e-07,1.5222837282428957e-06,Vtn,,3.634150834852812e-103,1.5804518186237675e-100,Scd2,,8.357006782334679e-84,3.6343693940064367e-81,Cd82,,7.303093304841987e-72,3.176034132794615e-69,Rgs5,,4.5523531131821346e-42,1.9797677872216526e-39,Abi3bp,,4.873802023431139e-70,2.1195623466343865e-67,Mecom,,4.1938224452712694e-58,1.8238467834213054e-55,Cytip,,2.5053550904331818e-48,1.0895510915506081e-45,Smoc2,,2.6864907978653648e-27,1.168324998093893e-24,Ncf2,,8.695954779014541e-36,3.781774111673657e-33,Grrp1,,5.533591549197388e-19,2.4064974803953976e-16
Adgrl4,,0.0,0.0,Efemp1,,0.0,0.0,Fst,,1.0002133686418314e-247,3.914835124864128e-245,Hsd11b1,,5.4873401232555755e-294,2.1477449242422325e-291,Cox5a,,0.0,0.0,Cox6a2,,4.656586267653435e-172,1.6568980592359586e-169,Fcgr2b,,1.701374989199703e-174,6.597655621573762e-172,Podxl,,3.7515491587407665e-07,3.590113302521115e-06,Cox4i2,,3.228585201710043e-100,1.2636682479493108e-97,Art3,,2.8564864488573184e-83,1.1180287960827545e-80,Fgfr4,,1.4935787022449317e-71,5.845867040586663e-69,Myh11,,3.6429520125637194e-37,1.4258514177174398e-34,Prg4,,6.817013509060498e-70,2.668179087446279e-67,Pecam1,,2.8755018476948684e-57,1.1254714231877716e-54,Lcp1,,7.105999785226476e-47,2.781288315937643e-44,Cpe,,3.316271708890416e-26,1.2979887468597088e-23,Tyrobp,,1.2295632041088245e-35,4.812510380881939e-33,Entpd1,,1.0696397674877866e-18,4.186570049947197e-16
