Old_names,Old_logfoldchanges,Old_pvals,Old_pvals_adj,Young_names,Young_logfoldchanges,Young_pvals,Young_pvals_adj
Tsc22d3,,1.369456658394069e-34,5.360053360954386e-31,Nrep,,2.6512218382431113e-19,2.0753764549767075e-16
Tpm2,,2.426439819429323e-27,4.748542726623184e-24,Col3a1,,5.2968240106214325e-17,2.4372158034103307e-14
Mb,,3.0452341430734593e-25,3.973015478663173e-22,Col1a1,,8.338758476414749e-12,1.0879300225562442e-09
Ifi27l2a,,6.97053505453565e-22,6.820668550863133e-19,Ythdc1,,6.319265636645683e-11,6.183401425457801e-09
Car3,,9.725806757621794e-19,6.344467941555283e-16,Fos,,2.488498937387026e-09,1.5967188263824295e-07
Sdhd,,3.219283297139579e-17,1.8000392607149018e-14,Limch1,,7.846297678915353e-09,4.4507839297499554e-07
Mdh2,,5.604226425828558e-17,2.4372158034103307e-14,Jam2,,8.681389369696761e-09,4.7192997212490445e-07
Mdh1,,1.1105734558972124e-16,4.346784506381689e-14,Col1a2,,5.169962269416414e-08,2.4379797978910656e-06
Ndufs2,,2.2965344794443917e-16,8.171487229586682e-14,AC160336.1,,5.7225313279006514e-08,2.666427097309899e-06
Ndrg2,,3.8121537664207546e-16,1.243397486814236e-13,Col5a3,,1.6205738134898354e-07,6.5390988721641405e-06
Cox5a,,9.041927803031536e-16,2.6686064674253297e-13,Itm2a,,2.6535316614822137e-07,1.0283092003011271e-05
Sod2,,9.545347609594946e-16,2.6686064674253297e-13,Cdh5,,3.292858192226698e-07,1.2000417461165602e-05
Ndufs7,,1.4581953551675116e-15,3.8049177467504266e-13,Meg3,,3.9309797590970063e-07,1.3987140706459711e-05
Tcap,,1.9149188654194777e-15,4.684370274532396e-13,Jun,,5.1685376952609e-07,1.759100568630536e-05
Cyp26b1,,4.102055005574921e-15,9.444378406953084e-13,Rgs5,,8.32010936028336e-07,2.7365468937940396e-05
Chchd1,,1.3909826155159367e-14,3.0246144206274313e-12,Secisbp2l,,1.2393253710529994e-06,3.911870566372129e-05
Tpi1,,2.7477548634470937e-14,5.660375018701014e-12,Rflnb,,1.4844197503924723e-06,4.335835002265773e-05
Pkm,,3.209418683007174e-14,6.2095618761748e-12,Myo1b,,2.4498172389934056e-06,6.612817016151856e-05
2010107E04Rik,,3.3316504700988965e-14,6.2095618761748e-12,Peg3,,2.9280551872722852e-06,7.69154899529109e-05
Ndufa12,,5.2898009330331004e-14,9.411036750859798e-12,Kdr,,3.111065908309114e-06,8.117807976747914e-05
Ndufb7,,5.759692488419419e-14,9.801494086814611e-12,Pcdh17,,5.1008705966046335e-06,0.00012478004696944085
Ndufab1,,1.6951877621903917e-13,2.7645687088388305e-11,Timp4,,7.364168400666393e-06,0.00017363466939884496
Ndufb5,,1.4869058838476006e-12,2.3278998517518035e-10,Tspan7,,8.597385122676887e-06,0.000199113404557144
Pvalb,,1.9025323157754612e-12,2.8640428784404446e-10,Ifrd1,,1.1099170563650973e-05,0.00024824087763502807
Des,,3.3867301086838048e-12,4.909504313106819e-10,Hmgcs1,,1.2649198478594395e-05,0.00027658638461015904
Atp5g1,,6.646176431934873e-12,9.290405198068962e-10,Col15a1,,1.3012295435428546e-05,0.00028294513519037403
Bst2,,7.099181543298777e-12,9.58144708981773e-10,Jund,,1.3125901673926708e-05,0.00028383855884944276
Vdac3,,1.1645707652589058e-11,1.470364508136567e-09,Adamts9,,1.4693106129341255e-05,0.0003091871902701165
Cebpb,,1.2307663893344863e-11,1.5053811399547434e-09,Egfl7,,1.6140753834228412e-05,0.0003378337460276471
Hspb8,,1.3713614817695065e-11,1.6265178301957117e-09,Abcb1a,,2.6013068477337407e-05,0.0005221289744630698
Eno3,,3.1594573683541036e-11,3.637092982275871e-09,Tspan13,,3.146336324365144e-05,0.0006219575946245037
Rtp4,,3.3388672825303995e-11,3.73380758394971e-09,Plk2,,3.19301309372244e-05,0.0006280127260718407
Uqcrc1,,3.780445350079005e-11,4.110184194502563e-09,Ppp1r12a,,4.113493875692713e-05,0.0007777881656744578
Idh3a,,4.766706057347737e-11,5.042402029313255e-09,Hist1h1e,,4.491814438397373e-05,0.0008411943402816898
Cfl2,,5.5888169587378837e-11,5.756481467500021e-09,Itga6,,4.5216230889655995e-05,0.0008427444176291122
H2-Q7,,6.231119600986769e-11,6.183401425457801e-09,Rasal2,,5.211352810431267e-05,0.0009360286468730467
Cystm1,,8.733600165944117e-11,8.337392938903725e-09,Gm12002,,5.373930023989319e-05,0.0009560710051770088
Pgk1,,1.2692604257398944e-10,1.182829834844273e-08,Dach1,,5.48703924107247e-05,0.0009717769950026085
Mtfr1l,,1.3135074069700876e-10,1.19559720718161e-08,Golga4,,6.194616149419189e-05,0.001082398553965478
Ndufs6,,1.4374346163599696e-10,1.2786634291893003e-08,Tmtc1,,6.921042115403761e-05,0.001193346204391644
Chchd10,,2.7811039369685903e-10,2.4189424020655694e-08,Lcorl,,7.059003467867332e-05,0.0012117955953172253
Oasl2,,3.052808328481103e-10,2.5975416951467474e-08,Ncam1,,8.728631959475743e-05,0.0014662603214329638
Ndufa5,,3.2190717039802715e-10,2.6807333296550602e-08,Atf3,,9.552325579082934e-05,0.0015842289117173987
Igfbp4,,3.4665056530150487e-10,2.8266464845626875e-08,Myo10,,9.881750399320162e-05,0.0016319481461155745
Got1,,3.8719364607314813e-10,3.046467924707088e-08,Chst15,,0.00010626261041766563,0.001736197098189491
Cox6a2,,3.8917576963555024e-10,3.046467924707088e-08,Dab2,,0.0001201373973916095,0.0018960394088337082
Emc6,,5.756199069684899e-10,4.417600619362097e-08,Cspg4,,0.0001250456000717869,0.001965576219602305
Suclg1,,8.873632323368184e-10,6.679114791089052e-08,Tcf15,,0.00012859632789894774,0.0020133041095859255
Cryab,,9.891956327069502e-10,7.30511642719812e-08,Plxna2,,0.00013620726806772482,0.002107174890186067
